oberaconnect [ ~ ]$ az backup job list --resource-group DataCenter --vault-name MyRecoveryServicesVault --output table
Name                                  Operation    Status     Item Name      Backup Management Type    Start Time UTC                    Duration
------------------------------------  -----------  ---------  -------------  ------------------------  --------------------------------  --------------
3e21854e-4328-4735-87f1-fc3f4220631e  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-25T03:51:24.616520+00:00  1:41:12.683319
a9f924a9-f055-4164-8b30-1e727fff4d71  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-25T03:50:33.563418+00:00  1:56:13.116388
33b76d57-118e-4987-aa33-16a8ba5b35f4  Backup       Completed  adfs           AzureIaasVM               2025-11-25T03:48:12.915418+00:00  1:26:13.222614
66f0b074-bca1-402e-8e93-135c30f21322  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-25T03:46:36.744332+00:00  1:17:55.816776
627cd1a2-915c-4b95-8a17-89bf60150057  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-25T03:45:32.502842+00:00  1:26:14.836492
44061655-a90b-4fbf-9733-81c5d66447a7  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-24T03:54:08.692547+00:00  1:26:15.485811
a32f1d07-06ab-4b2a-9803-f27706179619  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-24T03:48:46.768490+00:00  1:41:13.084657
c7399850-b987-4be5-9156-eebe5cd13a50  Backup       Completed  adfs           AzureIaasVM               2025-11-24T03:47:30.177133+00:00  2:26:14.406350
e3494c59-a80e-41f2-a527-22c6beae0415  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-24T03:46:53.971634+00:00  3:56:14.593288
114a2c9a-9fc2-4561-8490-15b21843b46e  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-24T03:46:30.229686+00:00  1:17:58.382217
9efa8abe-9766-49fa-97e1-bed102154ea7  Backup       Completed  adfs           AzureIaasVM               2025-11-23T03:54:35.890384+00:00  1:11:13.221563
c5d604a2-b17f-4481-acf3-f36c8d74b607  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-23T03:50:53.752182+00:00  2:28:43.055017
911c76a9-7de7-4fac-9487-8304a8f7717b  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-23T03:50:43.951357+00:00  2:47:58.168480
ab3ece6e-b742-4227-8d18-ae46bff17b13  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-23T03:48:46.260494+00:00  1:26:15.303145
22474b44-3990-4b53-a033-dfd99db44897  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-23T03:47:23.827314+00:00  1:41:14.808721
9c9fb8c2-4bc0-4592-9055-13724181851c  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-22T16:30:23.663928+00:00  0:09:42.653239
8bf6958f-f176-4e59-89c7-7d5b9fb7eb9a  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-22T12:31:28.150059+00:00  0:09:43.398306
640808ac-5af7-4c7d-8016-f83d373898c4  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-22T08:40:30.715914+00:00  0:11:44.755096
e79e9442-0f1b-45f8-8300-436c746acf69  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-22T03:54:23.102738+00:00  2:11:14.170712
21ffc550-5577-4f37-aab0-9c0400dc828e  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-22T03:54:01.556481+00:00  1:47:56.635188
a167e6f8-e9cc-4f55-be4a-412673772623  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-22T03:52:39.867539+00:00  1:26:14.679761
ae63ee05-ee55-4250-955f-19755f6ce9f6  Backup       Completed  adfs           AzureIaasVM               2025-11-22T03:48:28.275466+00:00  1:26:13.241279
893aca3b-5943-4163-881c-daaa29e326e0  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-22T03:46:24.118378+00:00  1:41:15.947510
58fc783d-6f22-4661-9ce2-ea566f8a55d5  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-21T20:31:28.029032+00:00  1:00:23.279624
2deadbc4-f1f8-430d-b737-dd3394a6f9fc  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-21T16:23:46.848497+00:00  0:09:42.284948
959ae492-223e-4d50-9a96-a366709739e1  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-21T12:30:22.394442+00:00  0:09:42.157215
38608029-937a-429b-8bb4-cbc61547904f  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-21T08:35:38.995306+00:00  0:11:14.935135
ed1545a0-fa74-4915-957d-0e2a68990d57  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-21T03:55:58.251861+00:00  1:18:28.352720
ed873afc-74e9-4f42-81ca-ea848c9d1887  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-21T03:54:50.504297+00:00  1:26:13.739770
30391a04-2199-48c1-adf6-34f9333459aa  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-21T03:53:39.610232+00:00  2:11:14.680204
2012e90a-0793-4502-af20-a7cfbde86e0d  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-21T03:53:21.283976+00:00  1:56:13.915654
13193201-ea96-4bf3-b871-70d3748be465  Backup       Completed  adfs           AzureIaasVM               2025-11-21T03:52:10.211518+00:00  1:26:13.082239
9d1d822d-8078-483a-961d-1eb872739e16  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-20T20:24:24.110730+00:00  1:00:20.723541
b6fe1ee6-1bd9-45cd-910c-246c50dd8926  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-20T16:30:45.369881+00:00  0:09:44.411655
20f44b23-fbe0-411a-85cb-b21db520c52f  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-20T12:27:54.564537+00:00  0:12:16.144976
c943ccc2-be4a-47d1-a175-6d4d8db77b28  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-20T08:34:14.797942+00:00  0:09:43.161023
629a537c-fa97-42a9-bb04-b6bfc55f648d  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-20T03:51:48.795377+00:00  1:17:25.723626
3299093c-2d53-49ea-8dfc-7a1d6a9c4d51  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-20T03:49:44.529075+00:00  1:56:13.388241
73260972-2633-4282-9a80-e084608658e2  Backup       Completed  adfs           AzureIaasVM               2025-11-20T03:49:16.672716+00:00  1:41:13.075269
c6a6647a-29cd-47d0-9f14-df8f72bb9ebb  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-20T03:45:07.694683+00:00  1:56:14.867208
44a854e1-8ea9-46a8-8162-2a197359268b  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-20T03:45:03.490159+00:00  2:41:16.080010
bbc56116-9f47-440e-a00e-522b9b1cb406  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-19T20:30:53.900949+00:00  1:15:22.807513
960fd892-e83d-400d-b98e-1d53830135b8  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-19T16:24:18.071373+00:00  0:09:42.526517
7dc53871-687d-4258-bd31-743ec06cae04  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-19T12:32:12.141360+00:00  0:09:42.820457
8f62a2ff-b667-437d-8a06-7c17f8b7d652  Backup       Completed  setco-dc02     AzureIaasVM               2025-11-19T08:37:39.978929+00:00  0:09:42.034793
72de0844-7cc8-4665-aa25-d2cb04149e35  Backup       Completed  setco-rds001   AzureIaasVM               2025-11-19T04:00:00.707126+00:00  3:12:16.288445
8b42d56a-2a84-4b86-ac30-272a991bbfc8  Backup       Completed  setco-dc01-vm  AzureIaasVM               2025-11-19T03:59:33.364280+00:00  1:56:38.670408
7b736e4e-6e7c-43c7-bcc6-c353fce0f64d  Backup       Completed  setco-fs01-vm  AzureIaasVM               2025-11-19T03:59:25.564249+00:00  1:34:38.252711
cce5af3a-c772-4426-934d-4b559001a4d7  Backup       Completed  adfs           AzureIaasVM               2025-11-19T03:57:06.879524+00:00  1:27:07.366640
a9c50b79-2fdc-4bf5-84a6-cdda6833ea63  Backup       Completed  adfsproxy      AzureIaasVM               2025-11-19T03:53:41.401932+00:00  2:12:33.387959
f
