"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\Qbooks\QuickBooksAutoDataRecovery\Southern Comfort Services 2023, LLC.QBW.TLG.ADR","F:\Qbooks\QuickBooksAutoDataRecovery","Southern Comfort Services 2023, LLC.QBW.TLG.ADR","176516","172.38","11/21/2025 11:04:52 PM","11/21/2025 11:03:53 PM"
"F:\Qbooks\QuickBooksAutoDataRecovery\Southern Comfort Services 2023, LLC.QBW.ADR","F:\Qbooks\QuickBooksAutoDataRecovery","Southern Comfort Services 2023, LLC.QBW.ADR","98148","95.85","11/21/2025 11:04:52 PM","11/21/2025 11:03:52 PM"
"F:\PostClosing\Closing Brief fka Correction Log.xlsx","F:\PostClosing","Closing Brief fka Correction Log.xlsx","411.08","0.4","11/21/2025 4:52:42 PM","10/25/2024 8:25:19 AM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6588 - F-Lender Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6588 - F-Lender Policy.pdf","231.82","0.23","11/21/2025 3:28:15 PM","11/21/2025 3:28:15 PM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6588 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6588 - F-Owner Policy.pdf","200.82","0.2","11/21/2025 3:27:07 PM","11/21/2025 3:27:07 PM"
"F:\PostClosing\Remote Files 2025.xlsx","F:\PostClosing","Remote Files 2025.xlsx","71.97","0.07","11/21/2025 2:29:40 PM","1/8/2025 5:00:11 PM"
"F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov\2025-11-21 14-14 Marty Murphy.pdf","F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov","2025-11-21 14-14 Marty Murphy.pdf","183.09","0.18","11/21/2025 2:15:00 PM","11/21/2025 2:15:00 PM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\NAV-25-883 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","NAV-25-883 - F-Owner Policy.pdf","193.11","0.19","11/21/2025 2:13:05 PM","11/21/2025 2:13:04 PM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6719 - F-Lender Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6719 - F-Lender Policy.pdf","259.99","0.25","11/21/2025 1:49:32 PM","11/21/2025 1:49:32 PM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PSJ-25-411 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PSJ-25-411 - F-Owner Policy.pdf","224.51","0.22","11/21/2025 1:48:50 PM","11/21/2025 1:40:53 PM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6719 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6719 - F-Owner Policy.pdf","185.38","0.18","11/21/2025 1:48:50 PM","11/21/2025 1:48:50 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","TITLE DOCUMENTS.zip","1107.2","1.08","11/21/2025 12:24:26 PM","11/21/2025 12:24:20 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\Invoice_20250724_124802.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","Invoice_20250724_124802.pdf - Jul 24th, 12_49 PM.pdf","22.97","0.02","11/21/2025 12:24:13 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\IMAGES 12576307.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","IMAGES 12576307.pdf - Jul 24th, 12_49 PM.pdf","811.32","0.79","11/21/2025 12:24:11 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\Exact 11963315.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","Exact 11963315.pdf - Jul 24th, 12_49 PM.pdf","24.6","0.02","11/21/2025 12:24:08 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\Title Search Report.20250724174405.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","Title Search Report.20250724174405.pdf - Jul 24th, 12_49 PM.pdf","64.55","0.06","11/21/2025 12:24:06 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\Title Search Report(Bringdown) - 080125 - 1.20250801211504.pdf - Aug 4th, 11_55 AM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","Title Search Report(Bringdown) - 080125 - 1.20250801211504.pdf - Aug 4th, 11_55 AM.pdf","13.69","0.01","11/21/2025 12:24:03 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\Party Search _ PACER_ PACER Case Locator.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","Party Search _ PACER_ PACER Case Locator.pdf - Jul 24th, 12_49 PM.pdf","167.93","0.16","11/21/2025 12:24:01 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\OFACSeller-072425-174944.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","OFACSeller-072425-174944.pdf - Jul 24th, 12_49 PM.pdf","43.83","0.04","11/21/2025 12:23:59 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS\OFACBuyer-072425-174944.pdf - Jul 24th, 12_49 PM.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\TITLE DOCUMENTS","OFACBuyer-072425-174944.pdf - Jul 24th, 12_49 PM.pdf","44.61","0.04","11/21/2025 12:23:56 PM","11/21/2025 6:23:28 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","SERVICES.zip","6242.44","6.1","11/21/2025 12:23:54 PM","11/21/2025 12:23:40 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\EF KRISTA - PERMITS & CODES ARE CLEAR.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","EF KRISTA - PERMITS & CODES ARE CLEAR.msg","329.5","0.32","11/21/2025 12:23:28 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\DFS-25-1505 LIEN INVOICE.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","DFS-25-1505 LIEN INVOICE.pdf","249.71","0.24","11/21/2025 12:23:25 PM","11/21/2025 6:21:54 PM"
